Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Encoded,BMI_Category,Age_Group,Heart_Rate_Reserve,Calorie_Burn_Rate,Workout_Intensity,Recovery_Index,Member_Engagement,Body_Composition_Score
36,123.7,1.69,185,138,73,1.3,987.0,20.4,2.1,4,2,43.31,1,3,1,112,753.4351145038167,0.7459056267228799,2.027214662593724,8,98.46520000000001
36,110.2,1.77,191,156,74,1.19,1021.0,26.5,3.4,2,1,35.18,1,3,1,117,850.8333333333334,0.8167111669546098,2.054984726464871,2,80.997
23,116.8,1.79,178,127,69,1.0,698.0,26.8,3.4,4,2,36.45,1,3,0,109,691.0891089108911,0.7134430649963486,2.998696219035202,8,85.49759999999999
46,108.8,1.64,185,169,63,1.4,1171.0,20.5,3.4,3,1,40.45,1,3,1,122,830.4964539007093,0.9134641370736717,1.369267550532493,3,86.496
39,81.7,1.75,165,165,55,1.32,1198.0,29.1,2.8,4,2,26.68,1,2,1,110,900.7518796992481,0.999939397612266,1.409894898743912,8,57.9253
38,45.2,1.68,193,144,58,1.01,727.0,29.9,2.4,3,2,16.01,0,0,1,135,712.7450980392157,0.7460753328843065,1.5259142330965536,6,31.685200000000005
41,51.5,1.8,166,126,60,1.09,680.0,26.7,2.1,4,2,15.9,1,0,1,106,618.1818181818181,0.758990422263719,1.463057790782736,8,37.7495
23,44.1,1.62,196,122,58,0.58,354.0,25.7,2.7,2,1,16.8,0,0,0,138,600.0,0.6224172236110402,2.5206431986093003,2,32.7663
34,75.7,1.94,181,141,72,1.18,915.0,29.3,2.4,4,2,20.11,1,1,1,109,768.9075630252102,0.7789624882603171,2.1170244045868865,8,53.51990000000001
30,107.9,1.66,194,140,64,1.08,832.0,29.5,2.8,3,2,39.16,1,3,1,130,763.3027522935779,0.7216122880263904,2.132622459180273,6,76.0695
25,41.1,1.67,186,138,71,1.03,711.0,31.9,2.4,3,2,14.74,0,0,0,115,683.6538461538461,0.7418955970109135,2.8388644542183123,6,27.989100000000004
55,49.3,1.76,194,161,73,1.28,927.0,30.5,2.0,2,1,15.92,0,0,2,121,718.6046511627907,0.829854131230349,1.327031448827486,2,34.2635
56,45.1,1.73,165,129,73,0.83,482.0,25.4,2.6,3,1,15.07,0,0,2,92,573.8095238095239,0.7817708017695898,1.3033386895197288,3,33.644600000000004
59,85.5,1.67,190,144,71,1.99,1418.0,15.0,3.5,5,3,30.66,1,3,2,119,709.0,0.7578548497447503,1.2031859006947976,15,72.675
19,59.1,1.57,184,162,50,1.65,1336.0,17.9,2.7,5,3,23.98,0,1,0,134,804.8192771084338,0.8803869354926364,2.6301946344029457,15,48.5211
46,58.0,1.53,196,140,62,1.83,1153.0,18.4,2.7,4,3,24.78,0,1,1,134,626.6304347826086,0.7142492729962757,1.347533144968485,12,47.328
45,81.4,1.61,164,141,55,1.14,796.0,30.0,2.2,4,2,31.4,1,3,1,109,692.1739130434784,0.8597036766050851,1.221950677627194,8,56.98
23,60.1,1.59,191,123,52,1.8,1107.0,17.6,2.7,4,3,23.77,0,1,0,139,611.6022099447514,0.64394534317575,2.2598870056497176,12,49.5224
48,52.3,1.66,174,130,71,0.74,433.0,33.0,1.8,3,1,18.98,0,1,1,103,577.3333333333334,0.7470835009482214,1.4788585711310145,3,35.041
40,76.9,1.92,179,137,68,1.13,851.0,22.4,3.7,4,2,20.86,1,1,1,111,746.4912280701755,0.7653203731635104,1.6995751062234443,8,59.674400000000006
42,62.9,1.98,173,126,61,1.42,886.0,28.5,3.4,4,2,16.04,1,0,1,112,619.5804195804196,0.7282816022195249,1.4520352297072125,8,44.9735
59,53.9,1.75,168,135,69,1.48,989.0,21.6,2.8,4,2,17.6,1,0,2,99,663.7583892617449,0.8035235997857271,1.1692933401118455,8,42.257600000000004
46,61.0,1.71,181,153,61,1.67,1150.0,17.8,2.7,4,3,20.86,0,1,1,120,684.5238095238095,0.845257168112259,1.3257987394044775,12,50.141999999999996
31,63.1,1.64,184,125,51,1.54,962.0,19.0,2.7,4,3,23.46,0,1,1,133,620.6451612903226,0.6793109070159231,1.6446307642695903,12,51.111000000000004
19,73.0,1.79,177,125,61,0.81,506.0,27.7,1.6,3,1,22.78,0,1,0,116,617.0731707317073,0.7061747923846111,3.2088374539715936,3,52.779
19,49.0,1.69,176,147,64,1.05,772.0,29.2,2.4,3,1,17.16,0,0,0,112,728.3018867924528,0.8351798193284473,3.3666491320357705,3,34.692
47,49.9,1.69,178,147,64,1.48,979.0,26.0,1.7,3,2,17.47,0,0,1,114,657.0469798657718,0.8257963035784507,1.3614124654328867,6,36.926
35,44.6,1.62,196,157,65,0.56,440.0,32.4,2.0,2,1,16.99,0,0,1,131,771.9298245614034,0.8009795418601092,1.856612396458155,2,30.1496
44,61.7,1.55,196,129,66,1.41,819.0,33.1,2.6,4,2,25.68,0,2,1,130,576.7605633802817,0.6581296872608541,1.499659168370825,8,41.277300000000004
50,57.1,1.91,184,131,68,1.09,707.0,29.5,2.7,4,2,15.65,1,0,2,116,642.7272727272726,0.7119178305526874,1.3597280543891221,8,40.255500000000005
41,63.4,1.59,162,153,55,1.84,1267.0,15.2,2.7,5,3,25.08,0,2,1,107,684.8648648648648,0.944386149003148,1.341136308217508,15,53.7632
27,63.7,1.52,195,120,60,1.19,714.0,25.4,2.1,4,2,27.57,0,2,0,135,595.0,0.6153530588174966,2.2213994816734544,8,47.5202
33,78.5,1.66,161,156,69,1.29,1006.0,32.8,1.9,4,2,28.49,0,2,1,92,773.8461538461538,0.9688839202534004,2.0902756740381703,8,52.752
26,76.7,1.63,199,139,72,1.08,751.0,25.6,1.7,2,1,28.87,0,2,0,127,688.9908256880733,0.6984573639515602,2.7681660899653977,2,57.0648
34,92.0,1.76,175,143,73,0.73,574.0,22.1,3.5,3,1,29.7,1,2,1,102,775.6756756756757,0.8170961659333753,2.1464275213172597,3,71.668
34,102.1,1.71,185,135,72,0.96,713.0,27.3,3.2,2,1,34.92,1,3,1,113,735.0515463917526,0.729690287011513,2.1170244045868865,2,74.2267
21,67.0,1.61,161,152,74,1.32,1104.0,22.0,2.1,3,2,25.85,1,2,0,87,830.0751879699247,0.9440407428110056,3.522132317943836,6,52.260000000000005
22,96.3,1.63,180,162,62,1.35,1203.0,27.1,2.4,4,2,36.25,1,3,0,118,884.5588235294117,0.8999500027776235,2.816901408450704,8,70.2027
44,98.0,1.83,194,130,56,1.28,824.0,25.7,3.5,4,2,29.26,1,2,1,138,638.7596899224806,0.6700685531673626,1.2724380822540333,8,72.814
56,52.9,1.64,169,155,53,1.1,767.0,27.4,2.3,3,2,19.67,0,1,2,116,690.9909909909909,0.9171054967161707,0.946259596500625,6,38.4054
53,56.9,1.59,199,164,65,1.49,1100.0,29.5,2.0,3,2,22.51,0,1,2,134,733.3333333333334,0.824079192000402,1.2261837389171855,6,40.1145
52,68.2,1.63,179,148,67,1.17,779.0,27.5,2.4,3,1,25.67,0,2,2,112,660.1694915254237,0.8267694542204347,1.288213805037493,3,49.445
49,49.2,1.54,179,153,63,1.28,881.0,30.7,2.1,3,2,20.75,0,1,1,116,682.9457364341085,0.8547008547008548,1.285451948581922,6,34.095600000000005
32,85.9,1.6,176,145,60,1.99,1587.0,14.5,3.5,5,3,33.55,1,3,1,116,793.5,0.8238168285892847,1.8744142455482662,15,73.4445
29,71.8,1.55,190,120,68,1.2,720.0,26.3,2.4,4,2,29.89,0,2,0,122,595.0413223140496,0.6315457081206253,2.344019303688383,8,52.916599999999995
58,44.2,1.57,183,155,59,1.08,753.0,31.9,2.3,3,1,17.93,0,0,2,124,690.8256880733944,0.84694825419376,1.0170660230994657,3,30.100200000000005
18,63.9,1.59,185,125,50,1.87,1169.0,16.4,2.7,4,3,25.28,0,2,0,135,621.8085106382979,0.6756391546402898,2.7762354247640197,12,53.4204
20,101.0,1.91,179,143,58,1.36,1070.0,29.3,2.7,3,2,27.69,1,2,0,121,781.0218978102189,0.7988380537400146,2.898550724637681,6,71.40700000000001
35,127.1,1.62,187,128,69,1.02,718.0,23.3,3.4,4,2,48.43,1,3,1,118,697.0873786407767,0.6844553767178226,1.9708654670094259,8,97.4857
29,49.0,1.57,168,132,53,1.33,878.0,26.5,2.6,3,2,19.88,0,1,0,115,655.2238805970148,0.7856675197904887,1.8269562219924163,6,36.015
30,121.6,2.0,179,160,60,1.24,1091.0,28.0,3.3,4,2,30.4,1,3,1,119,872.8,0.8938048153734429,1.9993335554815062,8,87.55199999999999
40,106.5,1.65,162,162,74,1.32,1176.0,21.0,3.6,4,2,39.12,1,3,1,88,884.2105263157895,0.9999382754150979,1.849537615596101,8,84.135
49,70.2,1.89,194,127,51,0.7,440.0,29.6,2.6,3,1,19.65,1,1,1,143,619.7183098591549,0.6546054327096542,1.0406039583758417,3,49.4208
37,48.7,1.67,164,132,74,1.39,1009.0,27.3,3.0,2,1,17.46,1,0,1,90,720.7142857142858,0.8048289738430584,1.999459605512024,2,35.4049
44,89.3,1.99,192,135,58,1.4,936.0,26.3,2.0,4,2,22.55,1,1,1,134,663.8297872340426,0.7030883808134993,1.3178822994773916,8,65.8141
50,58.4,1.79,164,131,56,1.6,943.0,17.0,2.7,4,3,18.23,0,0,2,108,585.7142857142857,0.7987317846472777,1.1197760447910419,12,48.471999999999994
18,67.4,1.6,182,164,71,0.6,492.0,33.5,2.4,3,1,26.33,0,2,0,111,806.5573770491803,0.9010493928905006,3.942254303164908,3,44.821000000000005
35,100.9,1.63,161,163,59,1.1,986.0,28.4,3.1,2,1,37.98,1,3,1,102,888.2882882882882,1.0123594807775915,1.6852327906312483,2,72.2444
40,69.7,1.51,189,141,64,1.27,895.0,30.6,1.9,3,2,30.57,0,3,1,125,699.21875,0.7459922755409767,1.5996000999750064,6,48.3718
52,70.6,1.58,181,164,67,1.02,753.0,34.9,2.0,3,2,28.28,0,2,2,114,731.0679611650485,0.9060272913098725,1.288213805037493,6,45.9606
40,72.2,1.6,173,130,67,0.87,566.0,29.2,1.9,3,1,28.2,0,2,1,106,643.1818181818181,0.7514016530836368,1.6745813546613348,3,51.117599999999996
28,63.0,1.62,196,147,55,0.68,500.0,31.7,1.9,2,1,24.01,0,1,0,141,724.6376811594203,0.7499617366460896,1.9635844341306674,2,43.029
51,56.3,1.5,182,142,66,1.43,914.0,27.4,2.4,3,1,25.02,0,2,2,116,634.7222222222223,0.780176913356409,1.2938639482454422,3,40.873799999999996
54,86.1,1.95,195,140,64,1.17,811.0,27.9,3.4,2,1,22.64,1,1,2,131,687.2881355932204,0.717911901953746,1.1849657470838735,2,62.078100000000006
22,40.3,1.56,192,121,57,1.45,877.0,30.8,2.1,4,2,16.56,0,0,0,135,600.6849315068494,0.6301755116920994,2.58973194002726,8,27.887599999999996
22,48.7,1.76,165,167,66,1.37,1144.0,29.0,2.2,4,2,15.72,0,0,0,99,828.9855072463768,1.0120598751590812,2.998636983189459,8,34.577
34,124.6,1.63,161,136,66,1.41,1055.0,27.6,2.8,3,2,46.9,1,3,1,95,742.9577464788733,0.844668033041426,1.9406057042046458,6,90.21039999999999
33,65.3,1.71,172,135,74,1.18,796.0,29.7,2.5,4,2,22.33,0,1,1,98,668.9075630252102,0.784838090808674,2.2417449257800666,8,45.9059
47,88.4,1.6,186,126,60,1.86,1160.0,14.2,3.5,5,3,34.53,1,3,1,126,620.3208556149732,0.6773829364012688,1.2763241863433312,15,75.8472
24,54.7,1.74,160,167,53,0.84,772.0,22.9,3.6,3,1,18.07,1,0,0,107,908.2352941176471,1.0436847697018936,2.2074135776759682,3,42.173700000000004
51,77.3,1.58,171,168,68,0.97,733.0,31.1,2.0,2,1,30.96,0,3,2,103,747.9591836734694,0.9823986901350799,1.3330719466771221,2,53.2597
22,78.7,1.52,173,166,74,1.45,1204.0,31.5,2.3,3,2,34.06,0,3,0,99,824.6575342465753,0.9594821108606439,3.3621081326669695,6,53.90950000000001
20,71.3,1.58,167,167,54,1.07,893.0,25.4,1.5,3,2,28.56,0,2,0,113,826.8518518518518,0.9999401233459075,2.6986506746626686,6,53.1898
21,88.4,1.6,198,121,67,1.71,1138.0,12.0,3.5,4,3,34.53,1,3,0,131,661.6279069767442,0.6110802484722994,3.188957639219419,12,77.792
39,71.7,1.88,198,147,51,0.55,445.0,23.7,2.2,2,1,20.29,1,1,1,147,794.6428571428571,0.7423867481440332,1.307357087926173,2,54.707100000000004
39,56.0,1.6,184,151,69,0.89,672.0,32.6,2.0,2,1,21.87,0,1,1,115,746.6666666666666,0.8206075756752351,1.7687772366059986,2,37.744
24,40.4,1.64,168,168,55,0.99,832.0,31.0,1.9,2,1,15.02,0,0,0,113,832.0,0.9999404797333492,2.2907122032486464,2,27.875999999999998
36,56.2,1.95,183,128,64,1.09,767.0,22.5,3.4,4,2,14.78,1,0,1,119,697.2727272727273,0.699415332495492,1.777284087753402,8,43.55500000000001
18,72.7,1.55,172,125,56,0.84,525.0,29.8,2.0,3,1,30.26,0,3,0,116,617.6470588235294,0.7267019359339574,3.1093836757357023,3,51.035399999999996
38,40.6,1.79,195,161,55,0.62,499.0,26.8,2.7,2,1,12.67,0,0,1,140,792.063492063492,0.8255986872468078,1.4469876348329387,2,29.7192
50,90.0,1.7,168,124,74,0.81,497.0,22.9,2.7,2,1,31.14,1,3,2,94,606.0975609756097,0.7380513064698531,1.4797040591881625,2,69.39
21,96.7,1.72,161,151,62,1.26,1046.0,25.0,2.8,3,1,32.69,1,3,0,99,823.6220472440945,0.9378299484504069,2.9509757258448355,3,72.525
50,66.3,1.57,192,132,73,1.25,742.0,31.6,1.6,2,1,26.9,0,2,2,119,588.8888888888889,0.6874641945731993,1.4597080583883224,2,45.349199999999996
21,51.0,1.71,174,132,73,1.07,706.0,34.2,2.2,3,2,17.44,0,0,0,101,653.7037037037037,0.7585770932705017,3.474535935268919,6,33.55799999999999
35,59.2,1.66,197,161,59,1.3,1151.0,21.3,3.2,3,1,21.48,1,1,1,138,878.6259541984732,0.8172174001319731,1.6852327906312483,3,46.5904
27,80.7,1.61,170,166,52,1.75,1598.0,14.3,3.5,4,3,31.13,1,3,0,118,907.9545454545455,0.9764131521675196,1.9252128841169935,12,69.15990000000001
28,72.9,1.67,197,147,74,1.13,831.0,34.7,2.2,3,2,26.14,0,2,0,123,728.9473684210527,0.7461550175118015,2.641913602284898,6,47.6037
28,78.7,1.63,185,154,59,1.1,847.0,31.7,1.8,3,2,29.62,0,2,0,126,763.0630630630629,0.8323874385168369,2.106390574794716,6,53.752100000000006
52,45.1,1.72,196,129,70,0.93,594.0,27.5,3.3,2,1,15.24,1,0,2,126,631.9148936170212,0.6581296872608541,1.3458950201884254,2,32.6975
20,74.8,1.75,184,121,73,1.33,885.0,25.0,3.3,3,2,24.42,1,1,0,111,660.4477611940298,0.6575729579914136,3.648175912043978,6,56.099999999999994
30,79.2,1.62,181,166,66,1.26,1046.0,28.0,2.5,4,2,30.18,0,3,1,115,823.6220472440945,0.9170764046185295,2.1992669110296568,8,57.024
51,64.9,1.6,169,125,55,1.49,838.0,31.1,2.5,4,2,25.35,0,2,2,114,558.6666666666666,0.7396012070291699,1.0782199568712019,8,44.716100000000004
25,55.3,1.76,176,152,67,1.56,1186.0,15.5,2.7,4,3,17.85,0,0,0,109,755.4140127388534,0.8635872961763537,2.6789284286285486,12,46.7285
54,86.0,1.93,171,163,51,1.74,1404.0,12.9,3.5,5,3,23.09,1,1,2,120,802.2857142857143,0.9531606338810596,0.9442695797074616,15,74.906
38,85.8,1.8,168,149,68,1.72,1410.0,10.1,3.5,4,3,26.48,1,2,1,100,815.028901734104,0.8868519730968395,1.7890028939752698,12,77.13419999999999
57,82.2,1.69,188,155,63,1.15,882.0,25.2,3.4,4,2,28.78,1,2,2,125,760.344827586207,0.824424232753577,1.1050692860901596,8,61.485600000000005
58,63.0,1.78,176,154,73,1.58,1095.0,17.5,2.7,4,3,19.88,0,1,2,103,688.6792452830189,0.8749502869155162,1.258403723495949,12,51.974999999999994
49,82.1,1.86,162,160,64,1.87,1481.0,14.2,3.5,4,3,23.73,1,1,1,98,787.7659574468084,0.9875933584346646,1.305855947765762,12,70.4418
38,46.9,1.74,198,167,64,1.03,946.0,20.0,2.6,4,2,15.49,1,0,1,134,909.6153846153845,0.8433917478915207,1.6837674296237832,8,37.52
49,40.0,1.65,188,148,74,1.03,686.0,34.3,2.5,3,2,14.69,0,0,1,114,659.6153846153846,0.7871921706292219,1.5098959396041625,6,26.28
31,78.8,1.71,177,121,59,1.49,992.0,24.7,2.5,4,2,26.95,1,2,1,118,661.3333333333334,0.6835771990283035,1.9026120606256045,8,59.3364
39,63.3,1.71,178,125,56,1.88,1175.0,18.5,2.7,4,3,21.65,0,1,1,122,621.6931216931217,0.7022077411381383,1.4355293514483467,12,51.589499999999994
56,69.3,1.68,195,138,58,0.66,451.0,26.5,2.1,2,1,24.55,1,1,2,137,673.1343283582089,0.7076560176401211,1.0355293697554009,2,50.9355
19,110.8,1.91,161,149,54,1.31,1074.0,23.3,2.9,2,1,30.37,1,3,0,107,813.6363636363636,0.9254083597292094,2.840610205155181,2,84.9836
32,70.5,1.62,177,122,58,1.24,756.0,28.4,1.8,2,1,26.86,0,2,1,119,604.8,0.6892265973673805,1.8119337706966574,2,50.477999999999994
19,98.6,1.7,197,162,74,0.83,740.0,21.1,2.4,2,1,34.12,1,3,0,123,880.952380952381,0.8222932846048424,3.8926880589163595,2,77.79539999999999
34,74.2,1.57,178,158,52,1.47,1161.0,32.7,2.4,3,1,30.1,0,3,1,126,784.4594594594595,0.8875905847986069,1.528962069979418,3,49.936600000000006
40,80.3,1.76,168,167,74,1.63,1497.0,13.1,3.5,5,3,25.92,1,2,1,94,912.8048780487806,0.9939884530682698,1.849537615596101,15,69.7807
19,64.3,1.63,197,132,57,1.87,1234.0,18.0,2.7,5,3,24.2,0,1,0,140,656.3829787234042,0.6700167504187605,2.998421883219358,15,52.726
53,52.4,1.57,171,149,71,1.34,898.0,28.3,2.2,3,2,21.26,0,1,2,100,665.1851851851851,0.8712940763698029,1.3393699302018487,6,37.5708
47,66.8,1.75,199,146,56,1.13,742.0,32.8,2.5,3,2,21.81,0,1,1,143,650.8771929824562,0.7336314758052359,1.191235907253776,6,44.8896
18,62.0,1.85,161,121,53,0.88,586.0,23.7,3.0,3,1,18.12,1,0,0,108,658.4269662921348,0.7515061176324452,2.942809550249861,3,47.306
23,67.8,1.61,186,160,66,1.34,1072.0,34.3,1.8,2,1,26.16,0,2,0,120,794.074074074074,0.8601688081285953,2.8683181225554106,2,44.5446
57,75.6,1.67,186,153,65,1.05,723.0,31.6,1.8,3,2,27.11,0,2,2,121,682.0754716981131,0.8225364227729692,1.1401508507279425,6,51.71039999999999
54,71.6,1.86,160,147,70,1.14,830.0,25.3,2.2,3,2,20.7,1,1,2,90,721.7391304347826,0.918692581713643,1.2960562858729865,6,53.4852
18,82.3,1.84,190,148,66,1.73,1408.0,13.3,3.5,5,3,24.31,1,1,0,124,809.1954022988506,0.7789063733487711,3.6646307606885062,15,71.3541
30,67.9,1.75,180,168,67,1.25,1155.0,29.1,3.1,2,1,22.17,1,1,1,113,916.6666666666666,0.9332814843619799,2.2325891369543482,2,48.1411
56,107.8,1.73,185,126,50,1.09,680.0,26.6,2.8,3,2,36.02,1,3,2,135,618.1818181818181,0.681044267877412,0.8926977325477594,6,79.12519999999999
49,77.7,1.61,160,158,50,1.03,806.0,26.7,3.4,3,2,29.98,1,2,1,110,775.0,0.9874382851071809,1.0201999591920017,6,56.954100000000004
57,64.0,1.52,170,129,52,1.73,1004.0,15.2,2.7,5,3,27.7,0,2,2,118,577.0114942528736,0.7587788953590966,0.912120680582354,15,54.272
53,68.1,1.55,164,131,65,1.41,831.0,26.1,2.2,4,2,28.35,0,2,2,99,585.2112676056338,0.7987317846472777,1.2261837389171855,8,50.3259
50,51.1,1.98,171,126,52,0.92,574.0,28.0,2.4,2,1,13.03,1,0,2,119,617.2043010752687,0.73679901760131,1.0397920415916817,2,36.792
58,52.0,1.79,173,169,52,1.12,937.0,29.6,3.0,3,1,16.23,1,0,2,121,829.2035398230088,0.9768221490087279,0.896397172901224,3,36.608
58,58.6,1.66,172,161,60,1.21,964.0,26.8,2.9,2,1,21.27,1,1,2,112,790.1639344262295,0.9359920934829371,1.034304430270643,2,42.8952
30,91.4,1.99,171,152,60,1.37,1145.0,23.0,3.7,3,2,23.08,1,1,1,111,829.7101449275361,0.8888369101222151,1.9993335554815062,6,70.378
32,84.0,1.74,195,127,63,1.45,1013.0,25.8,2.1,3,1,27.74,1,2,1,132,693.8356164383562,0.6512486539151838,1.9681349578256795,3,62.328
43,55.2,1.73,167,165,62,1.67,1240.0,16.6,2.7,5,3,18.44,0,0,1,105,738.0952380952381,0.9879647925273937,1.441525226691467,15,46.0368
26,76.4,1.79,177,156,73,1.17,1004.0,21.3,2.7,3,2,23.84,1,1,0,104,850.8474576271187,0.8813061408959946,2.806612841214917,6,60.12680000000001
35,55.3,1.56,187,139,56,1.71,1188.0,19.8,2.7,5,3,22.72,0,1,1,131,690.6976744186046,0.7432757606545105,1.599542987717795,15,44.3506
38,56.3,1.6,180,142,53,1.21,859.0,28.8,1.9,4,2,21.99,0,1,1,127,704.0983606557377,0.7888450641631021,1.3943699026571956,8,40.0856
38,91.5,1.77,178,140,74,0.8,616.0,26.7,3.4,2,1,29.21,1,2,1,104,760.4938271604938,0.786472670074715,1.9468560905024994,2,67.0695
18,66.9,1.75,170,122,61,0.94,573.0,26.8,1.7,2,1,21.84,0,1,0,109,603.1578947368421,0.7176048467737193,3.387007218212104,2,48.970800000000004
22,62.2,1.84,161,140,65,0.51,393.0,21.5,2.3,3,1,18.37,1,0,0,96,755.7692307692307,0.869511210483821,2.9532030895047705,3,48.827000000000005
47,89.1,1.84,168,159,65,1.44,1133.0,24.0,3.6,3,2,26.32,1,2,1,103,781.3793103448276,0.9463722397476341,1.3826845352052755,6,67.716
32,62.6,1.63,190,161,58,1.67,1344.0,15.0,2.7,5,3,23.56,0,1,1,132,800.0,0.8473238250618389,1.8119337706966574,15,53.21
50,89.6,1.68,182,139,74,1.79,1232.0,12.2,3.5,5,3,31.75,1,3,2,108,684.4444444444445,0.7636943025108511,1.4797040591881625,15,78.66879999999999
56,40.4,1.8,196,165,72,1.23,913.0,30.0,2.1,4,2,12.47,0,0,2,124,736.2903225806451,0.8417937860313249,1.2854847348687735,8,28.279999999999998
48,69.1,1.6,191,166,53,1.34,1001.0,26.1,2.0,4,2,26.99,0,2,1,138,741.4814814814814,0.8690644468875975,1.103936679858363,8,51.064899999999994
52,47.8,1.86,179,129,67,1.01,645.0,24.7,2.8,3,2,13.82,1,0,2,112,632.3529411764706,0.7206301323948383,1.288213805037493,6,35.9934
48,62.9,1.58,192,124,69,1.98,1105.0,20.0,2.7,4,3,25.2,0,2,1,123,555.2763819095477,0.6457996979323993,1.4372005832118309,12,50.32
50,101.7,1.67,192,127,57,0.53,333.0,20.9,2.9,2,1,36.47,1,3,2,135,616.6666666666666,0.6614238841726994,1.139772045590882,2,80.44470000000001
26,64.1,1.5,194,134,60,1.93,1293.0,15.1,2.7,5,3,28.49,0,2,0,134,666.4948453608248,0.6906860471109737,2.3068050749711646,15,54.420899999999996
41,77.6,1.76,162,161,71,1.27,920.0,31.8,2.2,4,2,25.05,0,2,1,91,718.75,0.9937658169248812,1.7312850524262375,8,52.923199999999994
42,85.2,1.81,189,151,65,1.54,1151.0,13.7,3.5,5,3,26.01,1,2,1,124,742.5806451612902,0.7988995291254432,1.5472506546060463,15,73.5276
25,74.3,1.71,162,157,64,1.43,1123.0,25.6,1.6,3,2,25.41,0,2,0,98,779.8611111111111,0.9690759829640146,2.5589764094362253,6,55.279199999999996
47,73.9,1.8,173,140,50,1.36,942.0,28.3,3.7,3,1,22.81,1,1,1,123,687.5912408759124,0.8092017802439165,1.0636034886194428,3,52.9863
52,50.3,1.78,170,132,67,0.85,555.0,24.5,2.3,2,1,15.88,1,0,2,103,645.3488372093024,0.7764249161814011,1.288213805037493,2,37.9765
23,81.4,1.85,194,150,74,1.6,1320.0,12.4,3.5,4,3,23.78,1,1,0,120,819.8757763975154,0.7731560228854183,3.215993046501521,12,71.30640000000001
51,66.2,1.58,164,129,65,0.86,499.0,31.3,2.3,3,1,26.52,0,2,2,99,573.5632183908046,0.7865374062557161,1.274259949029602,3,45.479400000000005
18,50.7,1.53,181,147,52,1.29,948.0,33.0,2.1,3,2,21.66,0,1,0,129,729.2307692307692,0.8121098281862881,2.8872848417545804,6,33.969
50,96.7,1.72,188,125,62,1.46,903.0,25.7,2.7,3,2,32.69,1,3,2,126,614.2857142857143,0.6648582522206266,1.239752049590082,6,71.8481
22,55.1,1.61,166,144,68,1.62,1166.0,19.9,2.7,4,3,21.26,0,1,0,98,715.3374233128834,0.8674176254442504,3.0895047705588365,12,44.1351
19,87.8,1.78,195,161,72,1.28,1133.0,23.6,3.3,2,1,27.71,1,2,0,123,878.2945736434108,0.8255986872468078,3.7874802735402415,2,67.0792
40,58.1,1.56,174,136,63,0.61,415.0,34.4,2.2,2,1,23.87,0,1,1,111,669.3548387096774,0.7815642779150624,1.574606348412897,2,38.113600000000005
47,127.1,1.76,199,157,73,0.71,552.0,24.9,3.0,2,1,41.03,1,3,1,126,766.6666666666667,0.7889050801467263,1.5528610933843863,2,95.4521
51,78.1,1.51,193,134,74,0.92,555.0,31.1,2.6,3,1,34.25,0,3,2,119,596.7741935483871,0.6942645458784519,1.4506959419721623,3,53.810900000000004
42,57.5,1.67,192,149,55,1.14,764.0,34.1,2.4,2,1,20.62,0,1,1,137,664.3478260869566,0.7760012499348993,1.3092120923589623,2,37.8925
43,53.8,1.72,173,160,71,1.03,742.0,30.2,2.3,4,2,18.19,0,0,1,102,713.4615384615385,0.9248020345644761,1.650778888630551,8,37.5524
37,55.6,1.57,182,123,53,0.97,597.0,29.2,2.4,2,1,22.56,0,1,1,129,609.1836734693877,0.6757870446678754,1.43204539313699,2,39.3648
55,69.9,1.81,179,167,57,1.2,992.0,20.2,2.1,4,2,21.34,1,1,2,122,819.8347107438017,0.932908776046031,1.0361752408652973,8,55.78020000000001
21,50.3,1.52,171,154,67,1.08,832.0,32.2,2.6,3,1,21.77,0,1,0,104,763.3027522935779,0.9005321326238233,3.188957639219419,3,34.10339999999999
54,55.2,1.71,164,152,67,0.77,579.0,24.4,2.8,2,1,18.88,1,1,2,97,742.3076923076923,0.9267727577586733,1.2405110164784299,2,41.7312
38,49.7,1.51,179,145,65,1.25,906.0,32.6,2.5,3,1,21.8,0,1,1,114,719.047619047619,0.8100106139321827,1.7100762957116549,3,33.4978
47,82.1,1.84,185,136,65,1.37,922.0,24.4,3.4,4,2,24.25,1,1,1,120,668.1159420289855,0.7350954002486353,1.3826845352052755,8,62.0676
57,76.6,1.86,173,141,55,1.14,796.0,25.4,2.8,4,2,22.14,1,1,2,118,692.1739130434784,0.8149817929599446,0.9647430275390283,8,57.14359999999999
30,85.3,1.95,160,155,68,1.61,1373.0,10.4,3.5,5,3,22.43,1,1,1,92,847.5308641975308,0.9686894569089433,2.26591136287904,15,76.4288
45,50.9,1.65,170,136,50,1.45,887.0,30.1,2.3,2,1,18.7,0,1,1,120,607.5342465753425,0.7999529439444739,1.1108642523883583,2,35.579100000000004
29,58.6,1.61,198,122,72,1.2,805.0,23.4,2.0,3,2,22.61,1,1,0,126,665.2892561983472,0.6161304984596738,2.481902792140641,6,44.8876
23,83.1,1.8,185,162,56,0.7,624.0,29.3,3.1,3,1,25.65,1,2,0,129,878.8732394366198,0.8756283444138155,2.4337244676227727,3,58.7517
